kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Animalia	Arthropoda	Insecta	Diptera	Psychodidae	Animalia	Arthropoda	Insecta	Diptera	Psychodidae	Deanemyia	1	54	811	216	9164	Psychodidae	Deanemyia samueli (Deane, 1955)	SPECIES	FAMILY	460	1	1	2a629a9a-38d1-496b-afbf-b4ff3b8fae60
Plantae					Plantae		Algae		Algae	Lyngbya	6					Plantae	Lyngbya aestuarii (Mert.) Liebm. ex Gomont	SPECIES	KINGDOM	404	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	dodonaea	6	7707728	933	220	6657	Sapindaceae	Sapindaceae dodonaea viscosa (l.) jacq.	SPECIES	FAMILY	392	9	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a;c71c8000-9fc7-422c-804a-ce6abe751771;25d9c44f-9a42-4292-85ca-c4118198d76c;02cb399f-3283-49fa-bce0-627c7f83083f;cde44dc3-3b14-49d9-840b-5073d5284e9e;4bda7e86-c7c0-440e-bed4-bde6c52a28c2;f5d836d5-cb15-4178-8f57-68ef1d6551e9;9118eee0-42d2-4a27-9ae0-78d49d163a5b;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Phalaris	6	7707728	422	220	2518	Caryophyllaceae	Phalaris arundinacea Lam.	SPECIES	FAMILY	377	1	1	4f6de508-f3f6-4be7-a184-1abee52cac1b
Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	6	7707728	1169	196	7682	Amaryllidaceae	Alium pallens L.	SPECIES	FAMILY	377	1	1	4f6de508-f3f6-4be7-a184-1abee52cac1b
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae					athyriaceae	Diplazium	6	7707728	392	7228684	4922264	Athyriaceae	athyriaceae Diplazium cristatum (Desr.) Alston	SPECIES	FAMILY	374	20	1	5c9a924c-8d45-4452-8604-415a118578aa;c0a459c6-2ae7-4890-a1e4-38e24e671269;d2a9b26f-cc8f-46e7-bec9-ba99ec7f9781;2ad00feb-1283-40d4-8352-0e4055f31773;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;6cb1a437-f8a6-4bdc-a534-87cf2b710427;8766db9d-86a9-4db5-81ff-d3632826d5b9;af6e6436-2507-43e7-b884-6838f655e14a;eab87e69-2ff6-4a67-9747-962b76fbd7cc;0638cd34-da37-48f0-8dbe-2a2999905bc5;99944819-a402-4862-a07b-bcb3dd63b59b;6cf2d179-0e25-49e1-af67-ff2571293c63;e7b96ed9-da1c-4eec-a481-281b1b319e48;b4a9aba3-9d66-4bdd-8e4b-ab42b11e69fd;7fde5656-64fd-4442-ae89-60becebc29a6;9118eee0-42d2-4a27-9ae0-78d49d163a5b;339e9de5-ee9a-4718-8837-0bc5b4f933f5;a7f1d343-b5cd-4890-bd44-72dfd4b6afb7;53287502-980d-41a8-b9f0-0f3a5bcb6555;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Rhodophyta	Rhodophyceae			Plantae		Rhodophyceae		Rhodophyceae inc. sed.	Polysiphonia	6	106		8029077		Rhodophyceae	Polysiphonia denudata (Dillwyn) Kütz.	SPECIES	CLASS	368	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Animalia	Arthropoda	Insecta	Lepidoptera	Riodinidae	Animalia	Arthropoda	Insecta	Lepidoptera	Riodinidae	Curvie	1	54	797	216	1933999	Riodinidae	Curvie emesia	SPECIES	FAMILY	313	1	1	50c9509d-22c7-4a22-a47d-8c48425ef4a7
Animalia	Chordata	Aves	Passeriformes	Sylviidae					Sylviidae	Cisticola	1	44	729	212	5285	Sylviidae	Cisticola sylvia	SPECIES	FAMILY	312	1	1	b76c1a65-b912-4ca6-be7e-50eb365f4a32
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Peltigera	5					Fungi	Peltigera rufescens	SPECIES	KINGDOM	300	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
