kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					CAESALPINIACEAE	cassia	6	7707728	1370	220	5386	Caesalpiniaceae	CAESALPINIACEAE cassia flexuosa bertero ex dc.	SPECIES	FAMILY	30	1	1	cde44dc3-3b14-49d9-840b-5073d5284e9e
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	cupania	6	7707728	933	220	6657	Sapindaceae	Sapindaceae cupania rubiginosa	SPECIES	FAMILY	30	2	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae				Pteridophyta					Pteridophyta	Macrothelypteris	6				6027660	Pteridophyta	Pteridophyta Macrothelypteris torresiana (Gaudich.) Ching	SPECIES	FAMILY	30	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae					Rosaceae	prunus	6	7707728	691	220	5015	Rosaceae	Rosaceae prunus subcoriacea (chodat & hassler) koehne	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Loganiaceae					Loganiaceae	buddleja	6	7707728	412	220	2502	Loganiaceae	Loganiaceae buddleja elegans cham. & schltdl. & schltdl	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Nyctaginaceae					Nyctaginaceae	guapira	6	7707728	422	220	6718	Nyctaginaceae	Nyctaginaceae guapira hirsuta	SPECIES	FAMILY	30	2	1	c71c8000-9fc7-422c-804a-ce6abe751771;02cb399f-3283-49fa-bce0-627c7f83083f
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	aciotis	6	7707728	690	220	6683	Melastomataceae	Melastomataceae aciotis indecora	SPECIES	FAMILY	30	2	1	c71c8000-9fc7-422c-804a-ce6abe751771;a185d0c4-1a12-45c1-a729-2a7b058b528d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Ochrolechia	5					Fungi	Ochrolechia frigida	SPECIES	KINGDOM	30	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae					Plantaginaceae	stemodia	6	7707728	408	220	2420	Plantaginaceae	Plantaginaceae stemodia pratensis (aubl.) c.cowan	SPECIES	FAMILY	30	1	1	a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	tibouchina	6	7707728	690	220	6683	Melastomataceae	Melastomataceae tibouchina cardinalis cogn.	SPECIES	FAMILY	30	2	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b;f5d836d5-cb15-4178-8f57-68ef1d6551e9
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	clidemia	6	7707728	690	220	6683	Melastomataceae	Melastomataceae clidemia capitellata (bonpl.)d. don	SPECIES	FAMILY	30	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Oxalidales	Connaraceae					Connaraceae	connarus	6	7707728	7224021	220	6669	Connaraceae	Connaraceae connarus punctatus	SPECIES	FAMILY	30	1	1	803eb96c-4779-41e3-a511-fd124732774f
Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae					Amaryllidaceae	nothoscordum	6	7707728	1169	196	7682	Amaryllidaceae	Amaryllidaceae nothoscordum inodorum (aiton) asch. & graebn.	SPECIES	FAMILY	30	1	1	75ffc475-3a0c-456d-b394-314489709e88
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae					Polypodiaceae	pecluma	6	7707728	392	7228684	2368	Polypodiaceae	Polypodiaceae pecluma recurvata (kaulfuss.) m.g. price	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	chaptalia	6	7707728	414	220	3065	Asteraceae	Asteraceae chaptalia integerrima (vell.) burkhart	SPECIES	FAMILY	30	1	1	f68d90e0-46dd-4ac4-acac-ade9d2645886
Animalia	Arthropoda	Insecta	Coleoptera	Brentidae	Animalia	Arthropoda	Insecta	Coleoptera	Brentidae	Rhaphirhyncus	1	54	1470	216	4238	Brentidae	Rhaphirhyncus cocoensis	SPECIES	FAMILY	30	1	1	3e9817c1-8302-4955-87e3-a408db0ea379
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae					Bignoniaceae	neojobertia	6	7707728	408	220	6655	Bignoniaceae	Bignoniaceae neojobertia candolleana Mart.	SPECIES	FAMILY	30	2	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b;c755bc4d-35da-4bf5-8026-53324410b17e
Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae					Sapotaceae	elaeoluma	6	7707728	1353	220	8802	Sapotaceae	Sapotaceae elaeoluma glabrescens	SPECIES	FAMILY	30	2	1	a185d0c4-1a12-45c1-a729-2a7b058b528d;bcf92a29-8c8d-4938-aa53-554ee99116ac
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	acmella	6	7707728	414	220	3065	Asteraceae	Asteraceae acmella bellidioides (rees in sm.) r.k. jansen	SPECIES	FAMILY	30	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	macroptilium	6	7707728	1370	220	5386	Fabaceae	Fabaceae macroptilium bracteatum (nees & mart.) marechal & baudet	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					leguminosae subfam. cercidoideae	Bauhinia	6	7707728	1370	220	5386	Leguminosae	leguminosae subfam. cercidoideae Bauhinia forficata Link	SPECIES	FAMILY	30	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Thelypteridaceae					Thelypteridaceae	amauropelta	6	7707728	392	7228684	6618	Thelypteridaceae	Thelypteridaceae amauropelta rivularioides (f	SPECIES	FAMILY	30	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Vochysiaceae					Vochysiaceae	qualea	6	7707728	690	220	3231623	Vochysiaceae	Vochysiaceae qualea dichotoma (mart.) warm. ex wille	SPECIES	FAMILY	30	1	1	f5d836d5-cb15-4178-8f57-68ef1d6551e9
Animalia	Arthropoda	Arachnida			Animalia	Arthropoda von Siebold, 1848	Arachnida Lamarck, 1801	Astigmata G. Canestrini, 1891	Partamonacoptidae Fain & Rosa, 1983	Partamonacoptes Fain & Rosa, 1983	1	54		367		Arachnida	Partamonacoptes brasiliensis Fain & Rosa, 1983	SPECIES	CLASS	30	1	1	8138eb72-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae					Hymenophyllaceae	trichomanes	6	7707728	7228685	7228684	2372	Hymenophyllaceae	Hymenophyllaceae trichomanes vittaria dc.	SPECIES	FAMILY	30	1	1	af0ac0ba-b895-47a2-ac64-30517f109c33
Plantae				Pteridophyta					Pteridophyta	Doryopteris	6				6027660	Pteridophyta	Pteridophyta Doryopteris rediviva Fée	SPECIES	FAMILY	30	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae				Pteridophyta					Pteridophyta	Alsophila	6				6027660	Pteridophyta	Pteridophyta Alsophila phalerata Mart.	SPECIES	FAMILY	30	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	margaritopsis	6	7707728	412	220	8798	Rubiaceae	Rubiaceae margaritopsis cephalantha (muell. arg.)c.m.taylor	SPECIES	FAMILY	30	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Pteridaceae					Pteridaceae	doryopteris	6	7707728	392	7228684	2367	Pteridaceae	Pteridaceae doryopteris nobilis (moore) c.chr.	SPECIES	FAMILY	30	1	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	eragrostis	6	7707728	1369	196	3073	Poaceae	Poaceae eragrostis bahiensis schrad. ex nees	SPECIES	FAMILY	30	1	1	af0ac0ba-b895-47a2-ac64-30517f109c33
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	leandra	6	7707728	690	220	6683	Melastomataceae	Melastomataceae leandra rhamnifolia (naud.)cogn.	SPECIES	FAMILY	30	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Plantae				Umbelliferae	Umbelliferae	6	7707728	1351	220	6720	Umbelliferae	Umbelliferae podagraria L.	SPECIES	FAMILY	30	1	1	834c9918-f762-11e1-a439-00145eb45e9a
Plantae					Plantae		Algae		Algae	Hypnea	6					Plantae	Hypnea flagelliformis Grev. ex J.Agardh	SPECIES	KINGDOM	30	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae				Pteridophyta					Pteridophyta	Polypodium	6				6027660	Pteridophyta	Pteridophyta Polypodium brasiliense Poir.	SPECIES	FAMILY	30	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Marchantiophyta	Jungermanniopsida	Pelliales	Pelliaceae					Pelliaceae	Neteroclada	6	9	915	126	6121	Pelliaceae	Neteroclada confluens Taylor ex Hook. & Wilson	SPECIES	FAMILY	30	1	1	4300f8d5-1ae5-49e5-a101-63894b005868
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	bellucia	6	7707728	690	220	6683	Melastomataceae	Melastomataceae bellucia grossularioides triana	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae				Pteridophyta					Pteridophyta	Alsophila	6				6027660	Pteridophyta	Pteridophyta Alsophila atrovirens (Langsd. & Fisch.) C.Presl	SPECIES	FAMILY	30	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	rhynchanthera	6	7707728	690	220	6683	Melastomataceae	Melastomataceae rhynchanthera grandiflora (aubl.) a.dc.	SPECIES	FAMILY	30	1	1	1aedcdff-24f2-4925-8e55-23eeef236b0d
Animalia	Nematoda	Secernentea	Strongylida	Trichostrongylidae	Animalia	Nematoda	Chromadorea	Rhabditida	Trichostrongylidae	Mackerrastrongylus	1	5967481	439	250	5969	Trichostrongylidae	Mackerrastrongylus peramelis	SPECIES	FAMILY	30	1	1	a79c2b50-6c8a-11de-8226-b8a03c50a862
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	geophila	6	7707728	412	220	8798	Rubiaceae	Rubiaceae geophila repens (l.) johnston	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Animalia					Animalia					Triconemoides	1					Animalia	Triconemoides affinis	SPECIES	KINGDOM	30	1	1	ff01c14e-06ce-47b6-8ea0-316cfb8fcff7
Animalia	Mollusca	Gastropoda	Stylommatophora	Charopidae		Mollusca	Gastropoda		Charopidae	Philanka	1	52	1456	225	9433	Charopidae	Philanka tjibodasensis Leschke, 1914	SPECIES	FAMILY	30	1	1	d962a7dc-2183-4824-bb88-5e0ba14ec62d
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae					Scrophulariaceae	Euphrasia	6	7707728	408	220	2390	Scrophulariaceae	Euphrasia gracilis	SPECIES	FAMILY	30	1	1	4f64e2fc-a84b-49f6-802f-e48f725717d7
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	andropogon	6	7707728	1369	196	3073	Poaceae	Poaceae andropogon virgatus l.	SPECIES	FAMILY	30	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	tibouchina	6	7707728	690	220	6683	Melastomataceae	Melastomataceae tibouchina stenocarpa (schrank & mart.) cogn.	SPECIES	FAMILY	30	1	1	f68d90e0-46dd-4ac4-acac-ade9d2645886
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	axonopus	6	7707728	1369	196	3073	Poaceae	Poaceae axonopus suffultus (j.c.mikan) parodi	SPECIES	FAMILY	30	2	1	af0ac0ba-b895-47a2-ac64-30517f109c33;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae					Capparaceae	neocalyptrocalyx	6	7707728	7225535	220	3111	Capparaceae	Capparaceae neocalyptrocalyx longifolium (mart.)cornejo & iltis	SPECIES	FAMILY	30	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Chlorophyta	Chlorophyceae			Plantae		Chlorophyceae		Chlorophyceae inc. sed.	Cladophora	6	36		329		Chlorophyceae	Cladophora pseudopellucida (Huds.) Kütz.	SPECIES	CLASS	30	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Jubulaceae					JUBULACEAE	Lejeunea	6	9	377	126	6119	Jubulaceae	Lejeunea primordialis (Hook.f. & Taylor) Taylor	SPECIES	FAMILY	30	1	1	83ae84cf-88e4-4b5c-80b2-271a15a3e0fc
Animalia	Mollusca	Gastropoda	Stylommatophora	Punctidae				Stylommatophora	Punctidae	Mehopotaka	1	52	1456	225	9428	Punctidae	Mehopotaka mariae (Gray, 1843)	SPECIES	FAMILY	30	1	1	e2980e63-d152-4219-8c1e-0ffdef3ea6aa
Plantae	Tracheophyta	Magnoliopsida	Piperales	Piperaceae					Piperaceae	peperomia	6	7707728	404	220	6678	Piperaceae	Piperaceae peperomia tetraphylla (g. forst.) hook. | arn.	SPECIES	FAMILY	30	1	1	8766db9d-86a9-4db5-81ff-d3632826d5b9
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae					Guttiferae	Vismia	6	7707728	1414	220	4900406	Guttiferae	Guttiferae Vismia japurensis Reichardt	SPECIES	FAMILY	30	2	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1;9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Jungermanniaceae	Plantae	Bryophyta	Hepaticopsida	Jungermanniales	Jungermanniaceae	Plectocolea	6	9	381	126	6136	Jungermanniaceae	Plectocolea crenuliformis	SPECIES	FAMILY	29	1	1	963f12d0-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae					Solanaceae	solanum	6	7707728	1176	220	7717	Solanaceae	Solanaceae solanum subsylvestre l.b. sm. & downs	SPECIES	FAMILY	29	3	1	c0a459c6-2ae7-4890-a1e4-38e24e671269;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;4bda7e86-c7c0-440e-bed4-bde6c52a28c2
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	mimosa	6	7707728	1370	220	5386	Fabaceae	Fabaceae mimosa ophthalmocentra mart. & benth.	SPECIES	FAMILY	29	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	gymnanthes	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae gymnanthes boticario esser, m.f.a. lucena & m. alves	SPECIES	FAMILY	29	1	1	c755bc4d-35da-4bf5-8026-53324410b17e
Animalia	Arthropoda	Arachnida			Animalia	Arthropoda von Siebold, 1848	Arachnida Lamarck, 1801	Astigmata G. Canestrini, 1891	Ewingidae Pearse, 1929	Ewingia Pearse, 1929	1	54		367		Arachnida	Ewingia cenobitae Pearse, 1929	SPECIES	CLASS	29	1	1	8138eb72-f762-11e1-a439-00145eb45e9a
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	senna	6	7707728	1370	220	5386	Fabaceae	Fabaceae senna quinquangulata (rich.) h.s. irwin & barneby	SPECIES	FAMILY	29	3	1	5c9a924c-8d45-4452-8604-415a118578aa;c0a459c6-2ae7-4890-a1e4-38e24e671269;af0ac0ba-b895-47a2-ac64-30517f109c33
Plantae					Plantae		Algae		Algae	Liagora	6					Plantae	Liagora canariensis Børgesen	SPECIES	KINGDOM	29	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Malacorrhinus	1	54	1470	216	7780	Chrysomelidae	Malacorrhinus decempunctatus	SPECIES	FAMILY	29	1	1	ca0d1f8f-4ba5-4187-82ec-ed8a66745b67
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	henriettea	6	7707728	690	220	6683	Melastomataceae	Melastomataceae henriettea glabra (Vell.) Penneys, Michelang., Judd & Almeda	SPECIES	FAMILY	29	4	1	cde44dc3-3b14-49d9-840b-5073d5284e9e;339e9de5-ee9a-4718-8837-0bc5b4f933f5;9118eee0-42d2-4a27-9ae0-78d49d163a5b;a185d0c4-1a12-45c1-a729-2a7b058b528d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Anthracothecium	5					Fungi	Anthracothecium leucostomum	SPECIES	KINGDOM	29	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	senna	6	7707728	1370	220	5386	Fabaceae	Fabaceae senna neglecta (vogelvogel) irwinirwin & barneby & barneby	SPECIES	FAMILY	29	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Animalia	Nematoda	Secernentea	Ascaridida	Ascarididae	Animalia	Nematoda	Chromadorea	Spirurida	Ascarididae	Dujardinascaris	1	5967481	442	250	5979	Ascarididae	Dujardinascaris blairi	SPECIES	FAMILY	29	1	1	a79c2b50-6c8a-11de-8226-b8a03c50a862
Plantae	Tracheophyta	Liliopsida	Asparagales	Iridaceae					Iridaceae	cypella	6	7707728	1169	196	7698	Iridaceae	Iridaceae cypella amplimaculata chauveau & l. eggers	SPECIES	FAMILY	29	2	1	5c9a924c-8d45-4452-8604-415a118578aa;4bda7e86-c7c0-440e-bed4-bde6c52a28c2
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae					Myrtaceae	hexachlamys	6	7707728	690	220	5014	Myrtaceae	Myrtaceae hexachlamys edulis (o. berg) kausel & legrand	SPECIES	FAMILY	29	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	desmodium	6	7707728	1370	220	5386	Fabaceae	Fabaceae desmodium canum (j.f.gmel.) schins & thell.	SPECIES	FAMILY	29	2	1	803eb96c-4779-41e3-a511-fd124732774f;af0ac0ba-b895-47a2-ac64-30517f109c33
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	cenostigma	6	7707728	1370	220	5386	Fabaceae	Fabaceae cenostigma nordestinum gagnon & g.p.lewis	SPECIES	FAMILY	29	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Cladonia	5					Fungi	Cladonia rangiferina	SPECIES	KINGDOM	29	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	paullinia	6	7707728	933	220	6657	Sapindaceae	Sapindaceae paullinia ingifolia	SPECIES	FAMILY	29	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae					Plantae		Algae		Algae	Desmarestia	6					Plantae	Desmarestia menziesii J.Agardh	SPECIES	KINGDOM	29	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Animalia	Arthropoda	Insecta	Diptera	Cecidomyiidae	Animalia	Arthropoda	Insecta	Diptera	Cecidomyiidae	Lonicerae	1	54	811	216	3338	Cecidomyiidae	Lonicerae russoi	SPECIES	FAMILY	29	1	1	50c9509d-22c7-4a22-a47d-8c48425ef4a7
Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae					Rubiaceae	hexasepalum	6	7707728	412	220	8798	Rubiaceae	Rubiaceae hexasepalum teres (walter)j.h.kirkbr.	SPECIES	FAMILY	29	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae				Pteridophyta					Pteridophyta	Alsophila	6				6027660	Pteridophyta	Pteridophyta Alsophila villosa (Humb. & Bonpl. ex Willd.) Desv.	SPECIES	FAMILY	29	1	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae					Vitaceae	cissus	6	7707728	7222050	220	6672	Vitaceae	Vitaceae cissus sulcicaulis	SPECIES	FAMILY	29	4	1	67f33aea-2c4b-475b-b243-91ca1b9dd29a;02cb399f-3283-49fa-bce0-627c7f83083f;3cb7fc60-aa95-4556-b987-b7f6f593b9a1;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	tococa	6	7707728	690	220	6683	Melastomataceae	Melastomataceae tococa guianensis	SPECIES	FAMILY	29	3	1	c71c8000-9fc7-422c-804a-ce6abe751771;a185d0c4-1a12-45c1-a729-2a7b058b528d;bcf92a29-8c8d-4938-aa53-554ee99116ac
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	praxelis	6	7707728	414	220	3065	Asteraceae	Asteraceae praxelis sanctopaulense (h. rob.) r.m. king & h. rob.	SPECIES	FAMILY	29	1	1	3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Lacistemataceae					Lacistemataceae	lacistema	6	7707728	1414	220	7524	Lacistemataceae	Lacistemataceae lacistema robustum schnizlein	SPECIES	FAMILY	29	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae					Campanulaceae	centropogon	6	7707728	414	220	8801	Campanulaceae	Campanulaceae centropogon cornutus (l.)druce	SPECIES	FAMILY	29	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	sebastiania	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae sebastiania glandulosa pax	SPECIES	FAMILY	29	1	1	a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Leguminosae	Indigofera	6	7707728	1370	220	5386	Leguminosae	Leguminosae Indigofera viscidissima Baker	SPECIES	FAMILY	29	1	1	a557f069-a10a-4558-ada5-dc67324fe839
Plantae					Plantae		Algae		Algae	Anacystis	6					Plantae	Anacystis montana (Lightf.) F.E.Drouet & W.A.Daily	SPECIES	KINGDOM	29	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae					Plantae		Cyanophyceae	Nostocales	Scytonemataceae	Desmonema	6					Plantae	Desmonema wrangelii (C.Agardh) Bornet & Flahault	SPECIES	KINGDOM	29	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae					Myrtaceae	myrcia	6	7707728	690	220	5014	Myrtaceae	Myrtaceae myrcia inaequiloba (dc.) d.legrand	SPECIES	FAMILY	29	2	1	9118eee0-42d2-4a27-9ae0-78d49d163a5b;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Liliopsida	Zingiberales	Costaceae					Costaceae	costus	6	7707728	627	196	4492	Costaceae	Costaceae costus scaber	SPECIES	FAMILY	29	2	1	02cb399f-3283-49fa-bce0-627c7f83083f;3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	acritopappus	6	7707728	414	220	3065	Asteraceae	Asteraceae acritopappus longifolius (gardner) r.m. king & h. rob.	SPECIES	FAMILY	29	2	1	c0a459c6-2ae7-4890-a1e4-38e24e671269;3cb7fc60-aa95-4556-b987-b7f6f593b9a1
Plantae	Tracheophyta	Liliopsida	Poales	Poaceae					Poaceae	coix	6	7707728	1369	196	3073	Poaceae	Poaceae coix lachryma-jobi l.	SPECIES	FAMILY	29	4	1	803eb96c-4779-41e3-a511-fd124732774f;02cb399f-3283-49fa-bce0-627c7f83083f;af0ac0ba-b895-47a2-ac64-30517f109c33;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Santalales	Loranthaceae					Loranthaceae	phthirusa	6	7707728	934	220	6663	Loranthaceae	Loranthaceae phthirusa pterygopus (Mart.) Kuijt	SPECIES	FAMILY	29	3	1	5c9a924c-8d45-4452-8604-415a118578aa;cde44dc3-3b14-49d9-840b-5073d5284e9e;9118eee0-42d2-4a27-9ae0-78d49d163a5b
Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae					Lauraceae	nectandra	6	7707728	407	220	6688	Lauraceae	Lauraceae nectandra leucantha nees & mart. ex mees	SPECIES	FAMILY	29	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae					Asteraceae	chresta	6	7707728	414	220	3065	Asteraceae	Asteraceae chresta pacourinoides (mart. ex dc.) sinischalchi & louille	SPECIES	FAMILY	29	1	1	c755bc4d-35da-4bf5-8026-53324410b17e
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	piptadenia	6	7707728	1370	220	5386	Fabaceae	Fabaceae piptadenia viridiflora (kunth.)benth.	SPECIES	FAMILY	29	1	1	c71c8000-9fc7-422c-804a-ce6abe751771
Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae					Euphorbiaceae	croton	6	7707728	1414	220	4691	Euphorbiaceae	Euphorbiaceae croton echioides müll.arg.	SPECIES	FAMILY	29	1	1	c755bc4d-35da-4bf5-8026-53324410b17e
Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae					Verbenaceae	glandularia	6	7707728	408	220	6689	Verbenaceae	Verbenaceae glandularia catharinae (moldenke) n. o'leary & p. peralta	SPECIES	FAMILY	29	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	macroptilium	6	7707728	1370	220	5386	Fabaceae	Fabaceae macroptilium bracteatum (nees & mart.) maréch. & baudet	SPECIES	FAMILY	29	1	1	9e54731f-ca52-4389-95cb-e4feedc7593e
